estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa
SP,3313901,472052,2,16,4,CABL951
AM,4221902,605359,3,7,3,CABL951
DF,3321000,711994,0,13,2,MEL789
AC,4221903,25330,0,5,1,FOO456
GO,3321000,271513,0,3,2,MEL789
AP,2821601,853729,0,20,2,FOO456
GO,3329599,880033,3,10,4,FOO456
AL,3511500,934717,0,12,4,CABL951
RS,4322301,916834,3,19,3,XPTO123
RS,3321000,137825,0,14,4,MEL789
PB,3511501,527834,4,15,1,MEL789
PR,3511501,845505,1,21,3,JJF753
PR,3321000,660827,4,5,4,CABL951
PI,4321500,813432,0,2,4,CABL951
MG,3321000,351603,4,6,4,XPTO123
PI,4322301,864608,2,19,4,FOO456
AL,7112000,694844,1,21,1,MEL789
ES,2821602,383255,0,21,4,CABL951
SE,4322301,293005,0,13,3,JJF753
MS,4754703,746138,0,14,3,JJF753
PB,3329599,37903,0,11,4,XPTO123
PE,4673700,749774,0,16,3,JJF753
SC,4321500,316057,1,1,1,JJF753
CE,3511501,368331,4,9,4,XPTO123
PB,4322302,789562,0,18,4,CABL951
SP,3511502,156364,3,14,2,JJF753
RR,4322302,818333,0,9,4,XPTO123
BA,4322302,718255,0,1,3,JJF753
PR,4221902,844119,0,13,3,JJF753
AC,3321000,801306,3,6,4,XPTO123
AL,4754703,765098,0,13,2,CABL951
MT,4321500,916294,3,9,1,FOO456
AL,3511500,170533,0,11,1,FOO456
AC,4221903,956734,0,16,3,FOO456
MS,4669901,813566,0,9,4,FOO456
MS,4321500,241638,0,3,4,MEL789
GO,3329599,809987,4,18,4,JJF753
RJ,4673700,484076,2,14,3,FOO456
BA,2821601,794661,0,19,3,FOO456
PE,3511502,791733,0,3,1,MEL789
PI,3321000,529619,0,1,1,XPTO123
PE,3511501,611674,3,4,4,XPTO123
SP,4673700,359238,0,3,2,XPTO123
PE,2731700,527100,3,2,2,FOO456
BA,3313901,44715,0,17,2,CABL951
RJ,3321000,566815,1,11,4,FOO456
PA,3321000,62507,1,3,1,XPTO123
SP,4754703,785822,0,1,3,XPTO123
SE,3329599,744899,3,14,4,JJF753
CE,3511502,291731,0,12,2,XPTO123
SC,3321000,702894,1,16,4,FOO456
MT,4221902,327321,0,14,3,JJF753
DF,3511501,146763,0,5,3,JJF753
PA,3313901,114763,0,6,3,CABL951
AL,4221902,295705,0,15,3,MEL789
RS,3511500,859977,0,12,2,JJF753
GO,7112000,488226,2,10,2,CABL951
BA,3511500,777271,4,1,2,MEL789
RR,4321500,228880,0,1,1,FOO456
ES,2821602,61718,0,15,4,XPTO123
PR,3511502,451936,3,5,4,JJF753
AC,4754703,91444,2,15,4,FOO456
RN,4322301,768333,2,15,2,JJF753
SE,4321500,974892,0,1,3,FOO456
MS,4669901,741982,0,4,3,CABL951
SC,3511501,61782,0,8,2,MEL789
PA,7112000,95265,4,13,2,JJF753
SE,3511501,884772,0,18,4,XPTO123
ES,4673700,232435,0,16,1,MEL789
MS,2821601,829205,0,19,1,CABL951
SC,4322301,922173,0,4,2,FOO456
RS,4221902,906994,0,1,2,JJF753
RS,7112000,656482,4,13,2,CABL951
PE,4221903,374872,2,1,1,FOO456
AC,3313901,654602,0,12,2,JJF753
ES,3511501,236597,0,8,1,XPTO123
RR,4742300,665146,1,13,1,CABL951
MA,2821601,551674,0,3,4,MEL789
PI,3313901,487285,0,20,2,MEL789
MG,4221903,459459,0,8,2,XPTO123
AL,3511502,207661,0,8,3,CABL951
PA,4322303,628521,0,1,1,MEL789
SE,4742300,364389,1,6,1,MEL789
MA,3329599,914049,0,16,1,XPTO123
RN,4221902,93855,0,11,4,MEL789
PA,4669999,465313,0,19,2,MEL789
AC,4754703,433220,0,16,1,MEL789
